дата,tвнеш,Q_√кал,tподающ,tвнутр
2023-01-02 19,-5,0.5,27.0,17.8
2023-01-02 20,-5,0.5,27.0,17.3
2023-01-02 21,-5,0.5,27.0,16.9
2023-01-02 22,-7,0.5,27.0,16.5
2023-01-02 23,-7,0.5,27.0,16.0
2023-01-03 00,-6,0.5,27.0,15.5
2023-01-03 01,-6,0.5,27.0,15.1
2023-01-03 02,-6,1.37,43.0,14.7
2023-01-03 03,-5,3.84,82.0,14.5
2023-01-03 04,-5,4.21,88.0,14.9
2023-01-03 05,-5,4.21,88.0,15.3
2023-01-03 06,-6,4.33,89.0,15.7
2023-01-03 07,-6,4.33,88.0,16.1
2023-01-03 08,-6,2.52,62.0,16.5
2023-01-03 09,-7,2.66,64.0,16.5
2023-01-03 10,-7,2.62,63.0,16.5
2023-01-03 11,-6,2.53,62.0,16.5
2023-01-03 12,-6,2.57,63.0,16.5
2023-01-03 13,-5,2.43,60.0,16.5
2023-01-03 14,-4,2.42,60.0,16.5
2023-01-03 15,-4,2.42,60.0,16.5
2023-01-03 16,-4,2.36,59.0,16.5
2023-01-03 17,-5,2.49,61.0,16.5
2023-01-03 18,-5,2.48,61.0,16.5
